event_id,sport,action_type,competition,match_time,score_difference,is_home_player,player,opponent,dominant_side,fatigue_level,competition_importance,pressure_index,pressure_level,decision_zone,action_result
BKB_0001,basketball,decisive_shot,Euroleague,40,-4,1,Durant,Holiday,right,0.67,0.32,0.524,media,drive,missed
BKB_0002,basketball,decisive_shot,JJOO,10,0,0,Booker,Davis,right,0.58,0.86,0.58,media,three_point,scored
BKB_0003,basketball,decisive_shot,Euroleague,31,3,1,Mitchell,Davis,right,0.89,0.62,0.599,media,three_point,scored
BKB_0004,basketball,decisive_shot,Euroleague,11,-3,0,Wembanyama,Dort,left,0.51,0.44,0.411,media,three_point,scored
BKB_0005,basketball,decisive_shot,Euroleague,34,-3,0,Morant,Gobert,right,0.31,0.98,0.634,media,three_point,scored
BKB_0006,basketball,decisive_shot,JJOO,39,0,0,Wembanyama,Davis,right,0.2,0.73,0.674,media,three_point,missed
BKB_0007,basketball,decisive_shot,Euroleague,18,-1,0,Morant,Smart,right,0.61,0.53,0.53,media,drive,blocked
BKB_0008,basketball,decisive_shot,Euroleague,41,4,0,Embiid,Thompson,right,0.27,0.46,0.531,media,three_point,missed
BKB_0009,basketball,decisive_shot,NBA,5,0,0,LeBron James,Bridges,right,0.82,0.82,0.575,media,drive,scored
BKB_0010,basketball,decisive_shot,JJOO,37,1,0,LeBron James,Bridges,right,0.87,0.83,0.749,alta,drive,missed
BKB_0011,basketball,decisive_shot,Euroleague,38,1,1,Tatum,Bridges,right,0.34,0.3,0.596,media,drive,scored
BKB_0012,basketball,decisive_shot,NBA,5,-4,0,Luka Doncic,Davis,right,0.87,0.66,0.394,media,mid_range,scored
BKB_0013,basketball,decisive_shot,NBA,36,-3,1,Embiid,Gobert,right,0.21,0.48,0.519,media,mid_range,scored
BKB_0014,basketball,decisive_shot,Euroleague,20,4,1,Jokic,White,right,0.43,0.81,0.495,media,three_point,missed
BKB_0015,basketball,decisive_shot,NBA,19,-5,1,Edwards,Dort,right,0.4,0.63,0.392,media,mid_range,missed
BKB_0016,basketball,decisive_shot,JJOO,23,-5,1,Morant,Gobert,right,0.2,0.41,0.328,baja,mid_range,missed
