event_id,sport,action_type,competition,match_time,score_difference,is_home_player,player,opponent,dominant_side,fatigue_level,competition_importance,pressure_index,pressure_level,decision_zone,action_result
HND_0001,handball,7m_throw,Europeo,59,0,1,Prandi,Corrales,left,0.49,0.77,0.873,alta,high_left,saved
HND_0002,handball,7m_throw,Mundial,13,-3,0,Abalo,Bergerud,right,0.89,0.76,0.507,media,low_right,missed
HND_0003,handball,7m_throw,Europeo,17,1,1,Abalo,Palicka,right,0.85,0.69,0.623,media,low_right,goal
HND_0004,handball,7m_throw,Champions League,10,-2,0,Fabregas,Banhidi,right,0.62,0.38,0.409,media,low_right,goal
HND_0005,handball,7m_throw,Europeo,48,-3,1,N. Karabatic,V. Sterbik,right,0.78,0.52,0.618,media,center,saved
HND_0006,handball,7m_throw,Europeo,11,2,0,Dahmke,Gonzalo P. de Vargas,right,0.7,0.34,0.419,media,high_left,goal
HND_0007,handball,7m_throw,Champions League,27,1,1,Lazarov,Palicka,right,0.63,0.76,0.667,media,low_left,saved
HND_0008,handball,7m_throw,Europeo,59,-3,1,Jicha,N. Landin,left,0.41,0.41,0.604,media,high_right,goal
HND_0009,handball,7m_throw,Champions League,27,0,1,Lazarov,Palicka,right,0.31,0.68,0.618,media,low_left,goal
HND_0010,handball,7m_throw,Champions League,6,-2,1,Duvnjak,Buric,right,0.39,0.81,0.44,media,high_right,goal
HND_0011,handball,7m_throw,Europeo,42,2,0,Fabregas,Ristovski,left,0.23,0.47,0.547,media,low_right,saved
HND_0012,handball,7m_throw,Mundial,4,1,1,Lazarov,A. Wolff,right,0.56,0.95,0.592,media,high_right,saved
HND_0013,handball,7m_throw,Europeo,52,-1,0,Gidsel,Bergerud,left,0.57,0.38,0.707,alta,high_right,saved
HND_0014,handball,7m_throw,Europeo,23,-1,1,Descat,Banhidi,right,0.33,0.59,0.555,media,low_right,goal
HND_0015,handball,7m_throw,Champions League,7,-3,1,Abalo,N. Landin,right,0.31,0.6,0.362,media,low_left,goal
HND_0016,handball,7m_throw,Mundial,36,0,0,Fabregas,Palicka,right,0.59,0.92,0.785,alta,high_right,goal
HND_0017,handball,7m_throw,Europeo,59,2,0,Fabregas,Bergerud,right,0.51,0.96,0.75,alta,center,goal
HND_0018,handball,7m_throw,Europeo,19,2,0,Abalo,Bergerud,left,0.8,0.78,0.549,media,low_left,goal
HND_0019,handball,7m_throw,Champions League,56,-2,1,Dahmke,Buric,left,0.73,0.59,0.696,media,low_left,goal
HND_0020,handball,7m_throw,Mundial,59,0,0,Abalo,Ristovski,left,0.89,0.6,0.87,alta,high_right,goal
HND_0021,handball,7m_throw,Europeo,53,-2,0,Jicha,N. Landin,right,0.44,0.42,0.609,media,high_left,goal
HND_0022,handball,7m_throw,Champions League,45,-3,1,Gidsel,A. Wolff,right,0.85,0.86,0.688,media,high_right,saved
HND_0023,handball,7m_throw,Europeo,60,-2,0,Holm,N. Landin,right,0.67,0.67,0.72,alta,high_right,saved
HND_0024,handball,7m_throw,Mundial,1,-3,1,Mem,Gonzalo P. de Vargas,right,0.54,0.84,0.407,media,high_right,goal
HND_0025,handball,7m_throw,Champions League,58,-3,1,N. Karabatic,V. Sterbik,right,0.55,0.57,0.653,media,low_right,goal
HND_0026,handball,7m_throw,Mundial,31,-3,1,Jicha,A. Wolff,right,0.64,0.72,0.542,media,low_right,goal
HND_0027,handball,7m_throw,Mundial,24,-1,0,Prandi,V. Sterbik,right,0.39,0.81,0.625,media,high_right,goal
HND_0028,handball,7m_throw,Champions League,49,-3,1,Holm,Corrales,right,0.77,0.48,0.596,media,low_right,saved
HND_0029,handball,7m_throw,Champions League,26,-3,1,Hansen,Bergerud,right,0.68,0.7,0.514,media,center,saved
HND_0030,handball,7m_throw,Europeo,37,1,0,Lazarov,N. Landin,right,0.74,0.44,0.667,media,center,goal
HND_0031,handball,7m_throw,Mundial,11,0,0,Holm,Palicka,right,0.33,0.33,0.506,media,low_right,goal
HND_0032,handball,7m_throw,Champions League,50,2,1,Holm,Gonzalo P. de Vargas,left,0.57,0.52,0.624,media,low_left,goal
HND_0033,handball,7m_throw,Champions League,41,-1,1,Lazarov,Gonzalo P. de Vargas,right,0.34,0.87,0.741,alta,low_left,goal
HND_0034,handball,7m_throw,Champions League,8,-3,0,Lazarov,N. Landin,right,0.44,0.5,0.378,media,low_left,goal
HND_0035,handball,7m_throw,Mundial,18,-1,0,Hansen,Ristovski,right,0.88,0.69,0.638,media,low_right,goal
HND_0036,handball,7m_throw,Mundial,17,-3,1,Hansen,V. Sterbik,right,0.67,0.55,0.466,media,high_left,goal
HND_0037,handball,7m_throw,Champions League,42,-2,0,Lazarov,Palicka,right,0.48,0.36,0.547,media,high_left,goal
HND_0038,handball,7m_throw,Europeo,16,2,1,Holm,V. Sterbik,left,0.51,0.95,0.54,media,high_right,saved
HND_0039,handball,7m_throw,Europeo,32,-2,1,Dahmke,A. Wolff,right,0.24,0.3,0.461,media,high_left,saved
HND_0040,handball,7m_throw,Champions League,59,-2,0,N. Karabatic,Buric,right,0.87,0.96,0.822,alta,low_right,goal
HND_0041,handball,7m_throw,Champions League,13,1,0,Lazarov,N. Landin,right,0.35,0.59,0.532,media,high_left,goal
HND_0042,handball,7m_throw,Europeo,4,1,1,Abalo,Buric,right,0.81,0.77,0.561,media,low_right,goal
HND_0043,handball,7m_throw,Champions League,32,-3,0,Holm,A. Wolff,left,0.79,0.63,0.553,media,high_left,goal
HND_0044,handball,7m_throw,Champions League,11,-1,1,Hansen,Banhidi,right,0.29,0.45,0.49,media,low_right,saved
