event_id,sport,action_type,competition,match_time,score_difference,is_home_player,player,opponent,dominant_side,fatigue_level,competition_importance,pressure_index,pressure_level,decision_zone,action_result
FTB_0001,football,penalty,World Cup,45,2,1,Cristiano Ronaldo,Dibu Martínez,right,0.72,0.43,0.511,media,left,goal
FTB_0002,football,penalty,Champions League,78,2,0,Kane,Maignan,right,0.77,0.98,0.692,media,left,goal
FTB_0003,football,penalty,Liga,35,0,1,Vinicius Jr.,Alisson,right,0.14,0.58,0.523,media,left,goal
FTB_0004,football,penalty,Champions League,73,2,1,Modric,Neuer,right,0.11,0.62,0.544,media,left,goal
FTB_0005,football,penalty,Champions League,73,0,0,Saka,Pickford,right,0.31,0.94,0.699,media,center,goal
FTB_0006,football,penalty,World Cup,54,-1,1,Benzema,Oblak,right,0.58,0.93,0.666,media,left,goal
FTB_0007,football,penalty,World Cup,65,-1,1,Mbappé,Dibu Martínez,right,0.59,0.98,0.671,media,left,goal
FTB_0008,football,penalty,Liga,1,0,0,Cristiano Ronaldo,Oblak,right,0.67,0.44,0.479,media,right,goal
FTB_0009,football,penalty,World Cup,11,2,0,Son,Neuer,right,0.61,0.81,0.502,media,left,goal
FTB_0010,football,penalty,Champions League,5,-1,0,Messi,Donnarumma,right,0.19,0.32,0.318,baja,left,goal
FTB_0011,football,penalty,Champions League,113,0,1,Griezmann,Pickford,right,0.8,0.79,0.892,alta,left,goal
FTB_0012,football,penalty,Liga,15,-2,1,Cristiano Ronaldo,Maignan,right,0.19,0.52,0.356,media,right,saved
FTB_0013,football,penalty,World Cup,58,-2,1,Pedri,Pickford,right,0.37,0.38,0.5,media,center,goal
FTB_0014,football,penalty,Liga,115,-1,0,Mbappé,Courtois,right,0.22,0.8,0.794,alta,right,goal
FTB_0015,football,penalty,World Cup,29,-1,0,Lewandowski,Dibu Martínez,right,0.46,0.67,0.515,media,left,goal
FTB_0016,football,penalty,World Cup,56,-1,0,Lautaro Martínez,Donnarumma,right,0.53,0.74,0.586,media,left,goal
