event_id,sport,action_type,competition,match_time,score_difference,is_home_player,player,opponent,dominant_side,fatigue_level,competition_importance,pressure_index,pressure_level,decision_zone,action_result
BKB_0001,basketball,decisive_shot,Euroleague,40,-4,1,Player_72,Def_68,right,0.67,0.32,0.524,media,drive,missed
BKB_0002,basketball,decisive_shot,Olympics,10,0,0,Player_32,Def_19,right,0.58,0.86,0.58,media,three_point,scored
BKB_0003,basketball,decisive_shot,Euroleague,31,3,1,Player_64,Def_13,right,0.89,0.62,0.599,media,three_point,scored
BKB_0004,basketball,decisive_shot,Euroleague,8,-3,0,Player_22,Def_55,left,0.51,0.44,0.394,media,three_point,scored
BKB_0005,basketball,decisive_shot,NBA,3,0,1,Player_63,Def_26,right,0.85,0.81,0.596,media,three_point,missed
BKB_0006,basketball,decisive_shot,Olympics,5,3,0,Player_70,Def_17,left,0.69,0.34,0.384,media,three_point,missed
BKB_0007,basketball,decisive_shot,NBA,12,3,0,Player_31,Def_61,right,0.81,0.92,0.521,media,three_point,scored
BKB_0008,basketball,decisive_shot,NBA,31,-2,0,Player_57,Def_57,right,0.61,0.52,0.595,media,mid_range,blocked
BKB_0009,basketball,decisive_shot,NBA,10,0,0,Player_71,Def_56,right,0.12,0.91,0.521,media,three_point,scored
BKB_0010,basketball,decisive_shot,NBA,17,-1,0,Player_23,Def_27,right,0.6,0.51,0.511,media,mid_range,missed
BKB_0011,basketball,decisive_shot,Euroleague,33,1,1,Player_21,Def_39,right,0.34,0.3,0.566,media,drive,scored
BKB_0012,basketball,decisive_shot,NBA,5,-4,0,Player_2,Def_61,right,0.87,0.66,0.394,media,mid_range,scored
BKB_0013,basketball,decisive_shot,NBA,40,-4,1,Player_23,Def_14,right,0.99,0.66,0.638,media,three_point,scored
BKB_0014,basketball,decisive_shot,Olympics,39,-5,0,Player_54,Def_54,right,0.2,0.59,0.473,media,three_point,scored
BKB_0015,basketball,decisive_shot,NBA,32,-5,1,Player_57,Def_6,right,0.4,0.63,0.47,media,mid_range,missed
BKB_0016,basketball,decisive_shot,Olympics,23,-5,1,Player_65,Def_57,right,0.2,0.41,0.328,baja,mid_range,missed
BKB_0017,basketball,decisive_shot,NBA,23,4,0,Player_16,Def_1,right,0.2,0.98,0.486,media,drive,scored
BKB_0018,basketball,decisive_shot,Euroleague,47,-5,0,Player_3,Def_54,right,0.81,0.99,0.677,media,mid_range,scored
BKB_0019,basketball,decisive_shot,Olympics,4,-4,0,Player_78,Def_30,right,0.25,0.83,0.366,media,three_point,missed
BKB_0020,basketball,decisive_shot,Olympics,28,0,1,Player_14,Def_27,right,0.72,0.77,0.713,alta,mid_range,scored
BKB_0021,basketball,decisive_shot,Olympics,35,0,1,Player_65,Def_51,right,0.74,0.39,0.669,media,three_point,scored
BKB_0022,basketball,decisive_shot,Olympics,25,-1,1,Player_40,Def_53,right,0.66,0.94,0.704,alta,mid_range,missed
BKB_0023,basketball,decisive_shot,NBA,11,4,1,Player_55,Def_60,right,0.61,0.92,0.472,media,mid_range,blocked
