event_id,sport,action_type,competition,match_time,score_difference,is_home_player,player,opponent,dominant_side,fatigue_level,competition_importance,pressure_index,pressure_level,decision_zone,action_result
ESP_0001,esports,1v1_duel,Pro League,3,2,0,Twistzz,jL,right,0.84,0.95,0.545,media,direct_duel,escape
ESP_0002,esports,1v1_duel,Pro League,21,-4,0,Showmaker,jL,right,0.12,0.63,0.461,media,defensive_hold,death
ESP_0003,esports,1v1_duel,Pro League,23,-4,0,device,Bin,right,0.96,0.64,0.609,media,bait,kill
ESP_0004,esports,1v1_duel,Major,17,4,0,Faker,Ax1Le,right,0.53,0.94,0.579,media,direct_duel,kill
ESP_0005,esports,1v1_duel,Championship,25,-1,0,s1mple,electroNic,right,0.34,0.87,0.76,alta,flank,death
ESP_0006,esports,1v1_duel,Pro League,23,-5,0,NiKo,jL,right,0.2,0.58,0.438,media,defensive_hold,kill
ESP_0007,esports,1v1_duel,Major,9,3,0,chovy,Spinx,right,0.84,0.99,0.57,media,direct_duel,death
ESP_0008,esports,1v1_duel,Championship,19,-1,0,chovy,Viper,right,0.91,0.6,0.71,alta,defensive_hold,kill
ESP_0009,esports,1v1_duel,Major,18,2,0,rain,Gumayusi,right,0.9,0.69,0.662,media,direct_duel,trade
ESP_0010,esports,1v1_duel,Championship,4,1,0,Twistzz,Hobbit,right,0.38,0.99,0.541,media,flank,kill
ESP_0011,esports,1v1_duel,Championship,15,-4,0,Zeus,electroNic,right,0.11,0.73,0.421,media,aggressive_push,kill
ESP_0012,esports,1v1_duel,Championship,17,4,0,Zeus,huNter,right,0.4,0.6,0.477,media,defensive_hold,death
ESP_0013,esports,1v1_duel,Championship,17,-5,0,donk,Ruler,right,0.95,0.59,0.527,media,flank,death
ESP_0014,esports,1v1_duel,Pro League,12,-2,0,Zeus,Spinx,right,0.44,0.7,0.52,media,bait,kill
ESP_0015,esports,1v1_duel,Pro League,22,3,0,Faker,Viper,right,0.98,0.66,0.673,media,bait,kill
