event_id,sport,action_type,competition,match_time,score_difference,is_home_player,player,opponent,dominant_side,fatigue_level,competition_importance,pressure_index,pressure_level,decision_zone,action_result
HND_0001,handball,7m_throw,Euro,59,0,1,Player_55,GK_9,left,0.49,0.77,0.873,alta,high_left,saved
HND_0002,handball,7m_throw,World Ch.,13,-3,0,Player_43,GK_5,right,0.89,0.76,0.507,media,low_right,missed
HND_0003,handball,7m_throw,Euro,17,1,1,Player_43,GK_23,right,0.85,0.69,0.623,media,low_right,goal
HND_0004,handball,7m_throw,Champions L.,10,-2,0,Player_42,GK_19,right,0.62,0.38,0.409,media,low_right,goal
HND_0005,handball,7m_throw,Euro,44,-2,1,Player_16,GK_4,right,0.3,0.58,0.555,media,high_right,saved
HND_0006,handball,7m_throw,Euro,11,2,0,Player_56,GK_11,right,0.7,0.34,0.419,media,high_left,goal
HND_0007,handball,7m_throw,Champions L.,46,-2,1,Player_8,GK_7,right,0.43,0.44,0.583,media,high_left,goal
HND_0008,handball,7m_throw,Euro,6,2,1,Player_56,GK_15,right,0.61,0.65,0.461,media,center,goal
HND_0009,handball,7m_throw,Euro,7,-1,0,Player_52,GK_28,right,0.59,0.89,0.613,media,center,saved
HND_0010,handball,7m_throw,Champions L.,41,-2,0,Player_12,GK_19,right,0.71,0.66,0.631,media,high_right,goal
HND_0011,handball,7m_throw,World Ch.,50,0,0,Player_47,GK_15,right,0.6,0.51,0.77,alta,high_left,missed
HND_0012,handball,7m_throw,Euro,5,2,1,Player_37,GK_6,right,0.87,0.88,0.532,media,low_right,missed
HND_0013,handball,7m_throw,Champions L.,24,1,0,Player_57,GK_12,right,0.42,0.92,0.672,media,low_left,saved
HND_0014,handball,7m_throw,World Ch.,25,2,1,Player_56,GK_22,right,0.36,0.35,0.422,media,center,goal
HND_0015,handball,7m_throw,World Ch.,14,1,0,Player_41,GK_26,left,0.2,0.52,0.49,media,high_left,goal
HND_0016,handball,7m_throw,Champions L.,48,2,1,Player_53,GK_19,left,0.28,0.59,0.585,media,low_left,goal
HND_0017,handball,7m_throw,Euro,36,-3,0,Player_10,GK_19,right,0.42,0.69,0.52,media,low_right,missed
HND_0018,handball,7m_throw,Euro,18,2,0,Player_58,GK_20,right,0.25,0.87,0.502,media,low_left,goal
HND_0019,handball,7m_throw,World Ch.,7,1,1,Player_17,GK_10,right,0.57,0.99,0.601,media,center,missed
HND_0020,handball,7m_throw,Euro,56,2,1,Player_38,GK_13,left,0.38,0.94,0.723,alta,center,saved
HND_0021,handball,7m_throw,World Ch.,38,-3,0,Player_48,GK_24,right,0.44,0.78,0.57,media,low_right,goal
HND_0022,handball,7m_throw,World Ch.,24,2,0,Player_14,GK_4,right,0.45,0.32,0.458,media,low_right,goal
HND_0023,handball,7m_throw,World Ch.,19,0,1,Player_59,GK_17,right,0.44,0.86,0.681,media,low_right,goal
HND_0024,handball,7m_throw,Champions L.,50,-1,1,Player_4,GK_19,right,0.7,0.87,0.81,alta,high_left,goal
HND_0025,handball,7m_throw,Euro,25,-3,0,Player_34,GK_4,right,0.8,0.77,0.558,media,high_left,saved
HND_0026,handball,7m_throw,Champions L.,20,-1,1,Player_54,GK_14,right,0.22,0.87,0.583,media,high_right,goal
HND_0027,handball,7m_throw,Euro,3,-3,0,Player_46,GK_1,right,0.23,0.98,0.401,media,low_right,saved
HND_0028,handball,7m_throw,World Ch.,46,2,1,Player_6,GK_23,right,0.79,0.6,0.651,media,low_right,saved
HND_0029,handball,7m_throw,Euro,18,-3,0,Player_21,GK_16,left,0.26,0.67,0.425,media,high_left,goal
HND_0030,handball,7m_throw,Champions L.,13,0,1,Player_30,GK_26,right,0.76,0.32,0.572,media,high_right,saved
