event_id,sport,action_type,competition,match_time,score_difference,is_home_player,player,opponent,dominant_side,fatigue_level,competition_importance,pressure_index,pressure_level,decision_zone,action_result
HOC_0001,hockey,shootout,Mundial,65,0,0,McDavid,Swayman,left,0.82,0.87,0.924,alta,direct_shot,missed
HOC_0002,hockey,shootout,Mundial,65,0,0,McDavid,Hellebuyck,right,0.75,0.67,0.87,alta,high_shot,saved
HOC_0003,hockey,shootout,JJOO,65,0,1,McDavid,Shesterkin,right,0.7,0.88,0.92,alta,right_deke,goal
HOC_0004,hockey,shootout,JJOO,65,0,0,Draisaitl,Swayman,right,0.55,0.91,0.89,alta,direct_shot,goal
HOC_0005,hockey,shootout,Mundial,65,0,0,Crosby,Sorokin,right,0.55,0.92,0.89,alta,low_shot,goal
HOC_0006,hockey,shootout,JJOO,65,0,0,Makar,Hellebuyck,right,0.53,0.85,0.878,alta,right_deke,goal
HOC_0007,hockey,shootout,JJOO,65,0,1,Ovechkin,Bobrovsky,right,0.57,0.87,0.883,alta,right_deke,saved
HOC_0008,hockey,shootout,JJOO,65,0,1,Point,Bobrovsky,right,0.76,0.92,0.931,alta,direct_shot,missed
HOC_0009,hockey,shootout,NHL,65,0,0,Makar,Oettinger,right,0.86,0.9,0.943,alta,high_shot,saved
HOC_0010,hockey,shootout,JJOO,65,0,0,Matthews,Oettinger,right,0.62,0.45,0.824,alta,right_deke,saved
HOC_0011,hockey,shootout,Mundial,65,0,0,McDavid,Saros,right,0.61,0.94,0.907,alta,direct_shot,goal
HOC_0012,hockey,shootout,JJOO,65,0,0,Ovechkin,Markström,right,0.76,0.84,0.92,alta,left_deke,saved
HOC_0013,hockey,shootout,Mundial,65,0,1,Robertson,Shesterkin,left,0.79,0.44,0.851,alta,right_deke,saved
HOC_0014,hockey,shootout,Mundial,65,0,1,Pastrnak,Saros,right,0.51,0.45,0.806,alta,low_shot,saved
HOC_0015,hockey,shootout,JJOO,65,0,0,Barkov,Swayman,right,0.56,0.91,0.912,alta,low_shot,goal
HOC_0016,hockey,shootout,JJOO,65,0,0,Barkov,Hellebuyck,right,0.5,0.45,0.787,alta,right_deke,saved
HOC_0017,hockey,shootout,JJOO,65,0,0,Kaprizov,Demko,left,0.58,0.54,0.845,alta,left_deke,goal
HOC_0018,hockey,shootout,NHL,65,0,0,Makar,Oettinger,right,0.8,0.94,0.945,alta,left_deke,saved
HOC_0019,hockey,shootout,JJOO,65,0,1,Crosby,Vasilevskiy,right,1.0,0.68,0.934,alta,high_shot,saved
HOC_0020,hockey,shootout,NHL,65,0,0,Rantanen,Saros,right,0.92,0.73,0.928,alta,low_shot,saved
HOC_0021,hockey,shootout,NHL,65,0,0,Makar,Hellebuyck,right,0.73,0.65,0.867,alta,right_deke,saved
HOC_0022,hockey,shootout,JJOO,65,0,1,Rantanen,Demko,right,0.76,0.77,0.889,alta,left_deke,saved
HOC_0023,hockey,shootout,JJOO,65,0,1,Draisaitl,Demko,left,0.6,0.58,0.842,alta,right_deke,saved
HOC_0024,hockey,shootout,NHL,65,0,0,Robertson,Markström,right,0.75,0.6,0.879,alta,right_deke,saved
HOC_0025,hockey,shootout,Mundial,65,0,1,Ovechkin,Hellebuyck,right,0.9,0.71,0.9,alta,low_shot,goal
HOC_0026,hockey,shootout,JJOO,65,0,1,McDavid,Hellebuyck,left,0.89,0.49,0.852,alta,direct_shot,saved
HOC_0027,hockey,shootout,Mundial,65,0,0,Kaprizov,Swayman,right,0.58,0.84,0.888,alta,right_deke,saved
HOC_0028,hockey,shootout,NHL,65,0,0,Draisaitl,Vasilevskiy,right,0.53,0.42,0.81,alta,direct_shot,saved
HOC_0029,hockey,shootout,JJOO,65,0,1,Kaprizov,Sorokin,right,0.97,0.91,0.97,alta,direct_shot,saved
HOC_0030,hockey,shootout,Mundial,65,0,0,MacKinnon,Hellebuyck,left,0.86,0.45,0.849,alta,left_deke,saved
HOC_0031,hockey,shootout,JJOO,65,0,0,Robertson,Markström,right,0.6,0.78,0.869,alta,high_shot,saved
HOC_0032,hockey,shootout,Mundial,65,0,1,Pastrnak,Bobrovsky,right,0.77,0.91,0.923,alta,direct_shot,saved
HOC_0033,hockey,shootout,Mundial,65,0,1,Point,Hellebuyck,right,0.87,0.48,0.849,alta,left_deke,missed
HOC_0034,hockey,shootout,Mundial,65,0,1,Crosby,Swayman,left,0.79,0.52,0.856,alta,direct_shot,goal
HOC_0035,hockey,shootout,Mundial,65,0,1,Hughes,Demko,right,0.51,0.98,0.909,alta,direct_shot,goal
HOC_0036,hockey,shootout,JJOO,65,0,1,Robertson,Oettinger,right,0.54,0.54,0.815,alta,direct_shot,goal
HOC_0037,hockey,shootout,Mundial,65,0,0,McDavid,Shesterkin,right,0.93,0.47,0.872,alta,low_shot,saved
HOC_0038,hockey,shootout,JJOO,65,0,0,Kucherov,Oettinger,right,0.59,0.52,0.838,alta,direct_shot,saved
HOC_0039,hockey,shootout,NHL,65,0,0,Point,Sorokin,right,0.75,0.9,0.929,alta,direct_shot,goal
HOC_0040,hockey,shootout,JJOO,65,0,1,Makar,Sorokin,right,0.62,0.57,0.845,alta,right_deke,saved
HOC_0041,hockey,shootout,NHL,65,0,0,Ovechkin,Markström,right,0.91,0.54,0.875,alta,low_shot,goal
HOC_0042,hockey,shootout,NHL,65,0,1,Makar,Demko,right,0.93,0.62,0.907,alta,direct_shot,saved
HOC_0043,hockey,shootout,JJOO,65,0,1,Rantanen,Markström,right,0.73,0.67,0.888,alta,direct_shot,saved
HOC_0044,hockey,shootout,Mundial,65,0,0,Draisaitl,Vasilevskiy,left,0.73,0.77,0.904,alta,low_shot,goal
HOC_0045,hockey,shootout,JJOO,65,0,1,Draisaitl,Sorokin,right,0.76,0.7,0.875,alta,low_shot,goal
HOC_0046,hockey,shootout,NHL,65,0,0,Matthews,Vasilevskiy,right,0.57,0.72,0.856,alta,low_shot,saved
HOC_0047,hockey,shootout,JJOO,65,0,1,Kucherov,Markström,right,0.91,0.97,0.975,alta,direct_shot,goal
HOC_0048,hockey,shootout,Mundial,65,0,0,Makar,Saros,right,0.56,0.93,0.902,alta,left_deke,saved
HOC_0049,hockey,shootout,NHL,65,0,0,Matthews,Oettinger,right,0.96,0.52,0.878,alta,direct_shot,goal
HOC_0050,hockey,shootout,JJOO,65,0,1,Pastrnak,Saros,right,0.75,0.49,0.85,alta,right_deke,saved
HOC_0051,hockey,shootout,NHL,65,0,0,Point,Vasilevskiy,right,0.62,0.93,0.902,alta,high_shot,saved
HOC_0052,hockey,shootout,NHL,65,0,0,Crosby,Demko,right,0.54,0.93,0.894,alta,high_shot,goal
HOC_0053,hockey,shootout,JJOO,65,0,0,McDavid,Swayman,left,0.64,0.8,0.895,alta,direct_shot,saved
HOC_0054,hockey,shootout,Mundial,65,0,0,Crosby,Demko,right,0.91,0.6,0.876,alta,direct_shot,saved
HOC_0055,hockey,shootout,Mundial,65,0,0,Robertson,Hellebuyck,right,0.93,0.7,0.906,alta,left_deke,missed
HOC_0056,hockey,shootout,JJOO,65,0,0,Pastrnak,Markström,right,0.71,0.82,0.901,alta,direct_shot,saved
HOC_0057,hockey,shootout,NHL,65,0,1,Hughes,Oettinger,left,0.52,0.86,0.886,alta,high_shot,saved
HOC_0058,hockey,shootout,JJOO,65,0,1,Rantanen,Shesterkin,right,0.51,0.54,0.816,alta,right_deke,goal
HOC_0059,hockey,shootout,JJOO,65,0,0,Robertson,Sorokin,right,0.91,0.54,0.869,alta,direct_shot,goal
HOC_0060,hockey,shootout,NHL,65,0,0,Ovechkin,Oettinger,right,0.79,0.98,0.948,alta,direct_shot,saved
HOC_0061,hockey,shootout,Mundial,65,0,1,Robertson,Shesterkin,right,0.57,0.65,0.85,alta,left_deke,goal
HOC_0062,hockey,shootout,NHL,65,0,0,Draisaitl,Vasilevskiy,right,0.55,0.68,0.857,alta,low_shot,saved
HOC_0063,hockey,shootout,JJOO,65,0,0,Hughes,Bobrovsky,right,0.76,0.8,0.901,alta,low_shot,saved
HOC_0064,hockey,shootout,Mundial,65,0,0,Matthews,Oettinger,left,0.73,0.94,0.938,alta,high_shot,saved
HOC_0065,hockey,shootout,Mundial,65,0,0,Robertson,Sorokin,left,0.96,0.43,0.86,alta,direct_shot,saved
HOC_0066,hockey,shootout,NHL,65,0,0,Makar,Swayman,left,0.68,0.96,0.918,alta,low_shot,saved
HOC_0067,hockey,shootout,NHL,65,0,0,McDavid,Shesterkin,right,0.75,0.99,0.959,alta,high_shot,saved
HOC_0068,hockey,shootout,Mundial,65,0,1,McDavid,Vasilevskiy,right,0.55,0.46,0.797,alta,direct_shot,saved
HOC_0069,hockey,shootout,JJOO,65,0,1,McDavid,Shesterkin,right,0.61,0.75,0.867,alta,high_shot,saved
HOC_0070,hockey,shootout,NHL,65,0,1,MacKinnon,Shesterkin,right,0.97,0.66,0.92,alta,high_shot,saved
HOC_0071,hockey,shootout,NHL,65,0,1,Draisaitl,Saros,left,0.82,0.87,0.948,alta,low_shot,missed
HOC_0072,hockey,shootout,Mundial,65,0,0,Kaprizov,Sorokin,right,0.62,0.89,0.918,alta,high_shot,saved
HOC_0073,hockey,shootout,Mundial,65,0,1,Hughes,Markström,right,0.68,0.6,0.862,alta,low_shot,saved
HOC_0074,hockey,shootout,Mundial,65,0,0,Robertson,Hellebuyck,right,0.78,0.87,0.938,alta,high_shot,saved
HOC_0075,hockey,shootout,NHL,65,0,1,Robertson,Shesterkin,right,0.51,0.44,0.805,alta,direct_shot,goal
HOC_0076,hockey,shootout,JJOO,65,0,0,MacKinnon,Oettinger,right,0.69,0.69,0.867,alta,right_deke,goal
HOC_0077,hockey,shootout,Mundial,65,0,0,Point,Vasilevskiy,right,0.73,0.98,0.947,alta,left_deke,saved
HOC_0078,hockey,shootout,Mundial,65,0,0,Crosby,Sorokin,right,0.93,0.77,0.931,alta,low_shot,goal
HOC_0079,hockey,shootout,NHL,65,0,1,Hughes,Shesterkin,right,0.58,0.83,0.899,alta,right_deke,saved
HOC_0080,hockey,shootout,Mundial,65,0,1,Pastrnak,Hellebuyck,right,0.52,0.92,0.902,alta,direct_shot,saved
HOC_0081,hockey,shootout,NHL,65,0,1,Ovechkin,Markström,right,0.86,0.95,0.962,alta,direct_shot,goal
HOC_0082,hockey,shootout,JJOO,65,0,0,Draisaitl,Bobrovsky,left,0.91,0.81,0.935,alta,direct_shot,saved
HOC_0083,hockey,shootout,JJOO,65,0,1,Barkov,Sorokin,left,0.79,0.46,0.845,alta,direct_shot,goal
HOC_0084,hockey,shootout,Mundial,65,0,0,Hughes,Vasilevskiy,right,0.97,0.53,0.9,alta,direct_shot,goal
HOC_0085,hockey,shootout,Mundial,65,0,0,Crosby,Saros,right,0.6,0.68,0.874,alta,low_shot,saved
HOC_0086,hockey,shootout,NHL,65,0,0,Draisaitl,Demko,right,0.87,0.9,0.959,alta,right_deke,saved
