event_id,sport,action_type,competition,match_time,score_difference,is_home_player,player,opponent,dominant_side,fatigue_level,competition_importance,pressure_index,pressure_level,decision_zone,action_result
FTB_0001,football,penalty,World Cup,45,2,1,Player_24,GK_3,right,0.72,0.43,0.511,media,left,goal
FTB_0002,football,penalty,World Cup,2,-1,1,Player_89,GK_17,left,0.85,0.81,0.507,media,right,goal
FTB_0003,football,penalty,World Cup,63,-1,0,Player_51,GK_7,right,0.88,0.33,0.58,media,right,goal
FTB_0004,football,penalty,League,20,-1,1,Player_71,GK_12,right,0.87,0.96,0.628,media,left,goal
FTB_0005,football,penalty,Champions,59,0,0,Player_63,GK_18,right,0.31,0.94,0.665,media,center,goal
FTB_0006,football,penalty,Champions,93,-1,1,Player_85,GK_16,right,0.84,0.58,0.723,alta,center,goal
FTB_0007,football,penalty,World Cup,90,2,0,Player_9,GK_24,right,0.87,0.71,0.703,alta,left,goal
FTB_0008,football,penalty,League,47,0,0,Player_72,GK_12,right,0.67,0.44,0.596,media,right,goal
FTB_0009,football,penalty,World Cup,40,2,0,Player_90,GK_23,right,0.61,0.81,0.572,media,left,goal
FTB_0010,football,penalty,World Cup,93,0,1,Player_4,GK_5,right,0.44,0.67,0.682,media,left,goal
FTB_0011,football,penalty,Champions,30,2,0,Player_62,GK_25,right,0.26,0.68,0.472,media,right,saved
FTB_0012,football,penalty,League,13,1,1,Player_97,GK_1,right,0.25,0.86,0.499,media,right,saved
FTB_0013,football,penalty,League,27,-2,1,Player_44,GK_24,right,0.79,0.87,0.537,media,left,goal
FTB_0014,football,penalty,World Cup,113,-2,0,Player_56,GK_17,right,0.15,0.58,0.61,media,right,goal
FTB_0015,football,penalty,Champions,32,-1,1,Player_70,GK_23,left,0.14,0.65,0.458,media,left,goal
FTB_0016,football,penalty,League,81,0,1,Player_16,GK_1,right,0.29,0.56,0.648,media,right,goal
FTB_0017,football,penalty,League,18,0,1,Player_96,GK_7,right,0.13,0.43,0.431,media,left,goal
FTB_0018,football,penalty,League,21,-2,1,Player_42,GK_3,right,0.51,0.58,0.462,media,right,goal
FTB_0019,football,penalty,League,27,-1,0,Player_9,GK_9,left,0.51,0.99,0.569,media,right,goal
FTB_0020,football,penalty,Champions,42,0,0,Player_89,GK_3,left,0.42,0.9,0.643,media,right,saved
FTB_0021,football,penalty,World Cup,117,-1,1,Player_21,GK_16,right,0.54,0.41,0.753,alta,left,goal
FTB_0022,football,penalty,Champions,90,0,1,Player_51,GK_22,right,0.55,0.76,0.714,alta,left,goal
FTB_0023,football,penalty,League,109,0,1,Player_35,GK_17,right,0.5,0.86,0.847,alta,left,goal
FTB_0024,football,penalty,World Cup,5,1,1,Player_53,GK_3,right,0.86,0.96,0.592,media,left,saved
FTB_0025,football,penalty,League,118,1,1,Player_58,GK_3,right,0.41,0.51,0.762,alta,left,goal
FTB_0026,football,penalty,World Cup,68,-1,0,Player_43,GK_22,right,0.89,0.73,0.67,media,right,goal
FTB_0027,football,penalty,World Cup,43,2,1,Player_65,GK_8,right,0.44,0.51,0.463,media,left,goal
FTB_0028,football,penalty,Champions,84,1,0,Player_62,GK_29,right,0.12,0.92,0.654,media,right,goal
FTB_0029,football,penalty,World Cup,101,-1,1,Player_5,GK_7,right,0.13,0.32,0.639,media,left,goal
FTB_0030,football,penalty,Champions,10,2,1,Player_19,GK_17,right,0.43,0.44,0.387,media,left,missed
FTB_0031,football,penalty,World Cup,48,0,0,Player_58,GK_26,left,0.16,0.61,0.517,media,right,goal
FTB_0032,football,penalty,League,19,-1,0,Player_22,GK_29,left,0.18,0.47,0.388,media,right,goal
FTB_0033,football,penalty,Champions,50,1,1,Player_62,GK_20,right,0.23,0.7,0.518,media,left,goal
FTB_0034,football,penalty,Champions,21,-1,0,Player_34,GK_20,right,0.75,0.83,0.561,media,right,goal
FTB_0035,football,penalty,Champions,45,-1,0,Player_92,GK_27,right,0.5,0.95,0.618,media,right,missed
FTB_0036,football,penalty,World Cup,96,1,1,Player_74,GK_11,right,0.61,0.57,0.732,alta,right,goal
FTB_0037,football,penalty,World Cup,23,2,1,Player_74,GK_26,right,0.4,0.45,0.386,media,left,goal
FTB_0038,football,penalty,World Cup,41,0,0,Player_36,GK_10,right,0.19,0.5,0.516,media,right,goal
FTB_0039,football,penalty,World Cup,51,0,1,Player_55,GK_13,right,0.43,0.99,0.659,media,left,missed
FTB_0040,football,penalty,World Cup,89,0,1,Player_12,GK_29,right,0.82,0.37,0.695,media,left,saved
FTB_0041,football,penalty,World Cup,109,1,0,Player_12,GK_25,right,0.87,0.55,0.807,alta,center,goal
FTB_0042,football,penalty,League,66,2,1,Player_5,GK_3,right,0.73,0.83,0.656,media,center,goal
FTB_0043,football,penalty,Champions,107,0,0,Player_40,GK_10,right,0.87,0.79,0.891,alta,right,saved
FTB_0044,football,penalty,World Cup,48,0,0,Player_71,GK_25,left,0.17,0.79,0.557,media,left,goal
FTB_0045,football,penalty,League,71,1,1,Player_67,GK_13,right,0.17,0.56,0.567,media,left,saved
FTB_0046,football,penalty,Champions,1,1,0,Player_63,GK_28,right,0.69,0.7,0.498,media,right,goal
FTB_0047,football,penalty,Champions,34,-2,0,Player_75,GK_28,left,0.87,0.46,0.483,media,left,saved
FTB_0048,football,penalty,Champions,9,0,1,Player_3,GK_16,right,0.16,0.79,0.462,media,left,missed
FTB_0049,football,penalty,Champions,88,0,1,Player_58,GK_28,right,0.86,0.5,0.744,alta,center,goal
FTB_0050,football,penalty,World Cup,70,1,1,Player_29,GK_13,right,0.31,0.55,0.567,media,left,goal
FTB_0051,football,penalty,League,109,2,0,Player_5,GK_23,left,0.43,0.96,0.734,alta,left,saved
FTB_0052,football,penalty,World Cup,49,-2,0,Player_33,GK_2,right,0.89,0.64,0.578,media,left,saved
FTB_0053,football,penalty,League,4,-2,0,Player_53,GK_5,right,0.16,0.31,0.307,baja,right,saved
FTB_0054,football,penalty,World Cup,91,0,1,Player_32,GK_2,left,0.46,0.47,0.647,media,right,goal
FTB_0055,football,penalty,Champions,43,-1,1,Player_57,GK_17,right,0.48,0.65,0.563,media,right,missed
FTB_0056,football,penalty,Champions,16,2,1,Player_30,GK_15,right,0.66,0.73,0.472,media,left,goal
FTB_0057,football,penalty,World Cup,52,-1,0,Player_4,GK_10,right,0.51,0.54,0.568,media,right,saved
FTB_0058,football,penalty,League,111,-1,1,Player_75,GK_19,right,0.15,0.84,0.733,alta,left,goal
FTB_0059,football,penalty,World Cup,64,0,1,Player_50,GK_29,right,0.61,0.4,0.592,media,right,goal
FTB_0060,football,penalty,Champions,23,0,1,Player_34,GK_17,right,0.38,0.88,0.557,media,center,goal
FTB_0061,football,penalty,World Cup,60,2,0,Player_26,GK_4,right,0.17,0.53,0.481,media,center,goal
FTB_0062,football,penalty,Champions,97,-2,1,Player_2,GK_13,left,0.89,0.72,0.721,alta,left,saved
FTB_0063,football,penalty,Champions,7,0,1,Player_99,GK_19,right,0.67,0.48,0.509,media,center,goal
FTB_0064,football,penalty,World Cup,29,-2,0,Player_13,GK_20,right,0.25,0.82,0.476,media,left,goal
FTB_0065,football,penalty,World Cup,57,-1,1,Player_83,GK_10,right,0.5,0.85,0.604,media,center,goal
FTB_0066,football,penalty,Champions,34,1,0,Player_70,GK_6,left,0.56,0.75,0.549,media,right,goal
FTB_0067,football,penalty,League,30,1,1,Player_36,GK_24,right,0.17,0.9,0.531,media,right,goal
FTB_0068,football,penalty,Champions,13,-1,0,Player_66,GK_15,left,0.83,0.7,0.512,media,center,goal
FTB_0069,football,penalty,World Cup,64,-1,1,Player_47,GK_1,right,0.72,0.5,0.589,media,left,goal
FTB_0070,football,penalty,World Cup,73,2,0,Player_10,GK_12,right,0.85,0.65,0.632,media,left,goal
FTB_0071,football,penalty,League,24,-1,1,Player_95,GK_17,right,0.21,0.36,0.377,media,center,goal
FTB_0072,football,penalty,Champions,102,1,1,Player_64,GK_29,left,0.2,0.98,0.779,alta,left,goal
FTB_0073,football,penalty,Champions,17,-2,1,Player_89,GK_13,right,0.74,0.83,0.534,media,left,goal
FTB_0074,football,penalty,League,71,-1,0,Player_25,GK_17,right,0.45,0.87,0.65,media,left,goal
FTB_0075,football,penalty,Champions,108,-1,1,Player_15,GK_15,right,0.83,0.68,0.823,alta,right,goal
FTB_0076,football,penalty,World Cup,74,1,1,Player_68,GK_22,right,0.56,0.82,0.696,media,right,saved
FTB_0077,football,penalty,League,86,2,0,Player_8,GK_5,right,0.37,0.91,0.669,media,right,goal
FTB_0078,football,penalty,World Cup,58,1,1,Player_11,GK_10,right,0.68,0.81,0.653,media,center,goal
FTB_0079,football,penalty,League,41,-1,1,Player_68,GK_5,right,0.22,0.96,0.571,media,right,goal
FTB_0080,football,penalty,League,111,-1,0,Player_1,GK_14,right,0.4,0.84,0.771,alta,left,saved
FTB_0081,football,penalty,World Cup,28,-1,0,Player_73,GK_21,left,0.2,0.89,0.537,media,center,goal
FTB_0082,football,penalty,League,40,1,1,Player_91,GK_2,right,0.58,0.85,0.577,media,right,saved
FTB_0083,football,penalty,World Cup,110,0,0,Player_29,GK_11,right,0.83,0.32,0.777,alta,left,goal
FTB_0084,football,penalty,League,76,1,0,Player_49,GK_7,right,0.51,0.45,0.618,media,center,saved
FTB_0085,football,penalty,World Cup,71,2,1,Player_16,GK_8,right,0.44,0.58,0.575,media,center,goal
FTB_0086,football,penalty,League,70,-2,1,Player_1,GK_8,right,0.46,0.84,0.615,media,left,goal
FTB_0087,football,penalty,Champions,103,0,0,Player_93,GK_8,right,0.32,0.56,0.75,alta,left,goal
FTB_0088,football,penalty,World Cup,3,0,1,Player_8,GK_2,right,0.64,0.46,0.447,media,right,goal
FTB_0089,football,penalty,Champions,97,0,0,Player_33,GK_23,right,0.86,0.97,0.872,alta,left,goal
FTB_0090,football,penalty,League,102,2,1,Player_67,GK_23,left,0.61,0.91,0.739,alta,center,goal
FTB_0091,football,penalty,Champions,4,1,1,Player_24,GK_17,right,0.43,0.74,0.462,media,left,missed
FTB_0092,football,penalty,World Cup,104,0,0,Player_73,GK_22,right,0.74,0.93,0.878,alta,left,goal
FTB_0093,football,penalty,Champions,77,1,1,Player_41,GK_6,right,0.82,0.39,0.642,media,right,goal
FTB_0094,football,penalty,Champions,8,2,0,Player_40,GK_2,right,0.76,0.76,0.471,media,left,saved
FTB_0095,football,penalty,Champions,72,-2,1,Player_54,GK_11,right,0.56,0.65,0.61,media,right,goal
FTB_0096,football,penalty,League,22,2,1,Player_99,GK_22,right,0.3,0.72,0.439,media,left,goal
FTB_0097,football,penalty,League,57,2,0,Player_98,GK_9,right,0.32,0.64,0.52,media,right,saved
FTB_0098,football,penalty,League,93,2,0,Player_44,GK_19,right,0.38,0.54,0.592,media,center,goal
FTB_0099,football,penalty,World Cup,33,-1,0,Player_12,GK_16,left,0.35,0.37,0.462,media,right,goal
FTB_0100,football,penalty,League,105,2,1,Player_26,GK_15,left,0.68,0.83,0.737,alta,right,goal
FTB_0101,football,penalty,Champions,5,-2,0,Player_87,GK_29,right,0.55,0.43,0.402,media,right,goal
FTB_0102,football,penalty,World Cup,57,1,1,Player_3,GK_5,right,0.36,0.89,0.628,media,center,goal
FTB_0103,football,penalty,Champions,64,-1,0,Player_16,GK_13,right,0.15,0.81,0.572,media,right,goal
FTB_0104,football,penalty,League,74,-1,0,Player_39,GK_14,left,0.8,0.32,0.581,media,center,missed
FTB_0105,football,penalty,World Cup,42,-2,0,Player_84,GK_5,left,0.48,0.58,0.5,media,right,saved
FTB_0106,football,penalty,World Cup,88,-2,0,Player_79,GK_9,right,0.38,0.38,0.542,media,left,goal
FTB_0107,football,penalty,League,13,-2,1,Player_88,GK_11,right,0.27,0.78,0.452,media,left,goal
FTB_0108,football,penalty,World Cup,108,-1,1,Player_74,GK_11,left,0.89,0.42,0.763,alta,right,goal
FTB_0109,football,penalty,World Cup,21,-1,0,Player_20,GK_26,right,0.87,0.33,0.502,media,right,goal
FTB_0110,football,penalty,World Cup,63,0,0,Player_89,GK_9,right,0.71,0.58,0.664,media,right,goal
FTB_0111,football,penalty,Champions,107,2,0,Player_79,GK_8,right,0.8,0.36,0.65,media,right,missed
FTB_0112,football,penalty,Champions,112,0,0,Player_60,GK_16,right,0.43,0.36,0.734,alta,right,goal
FTB_0113,football,penalty,Champions,82,2,1,Player_91,GK_13,right,0.15,0.99,0.645,media,right,goal
FTB_0114,football,penalty,World Cup,32,0,1,Player_63,GK_27,right,0.3,0.91,0.564,media,left,goal
