event_id,sport,action_type,competition,match_time,score_difference,is_home_player,player,opponent,dominant_side,fatigue_level,competition_importance,pressure_index,pressure_level,decision_zone,action_result
TEN_0001,tennis,serve,ATP 500,1,0,1,Federer,Rublev,right,0.29,0.48,0.497,media,center,returned
TEN_0002,tennis,serve,Grand Slam,4,1,0,Murray,Djokovic,right,0.86,0.68,0.741,alta,body,returned
TEN_0003,tennis,serve,ATP 500,3,-1,1,Federer,Rublev,right,0.86,0.63,0.672,media,wide,fault
TEN_0004,tennis,serve,ATP 500,2,1,1,Sinner,De Miñaur,left,0.61,0.69,0.606,media,center,returned
TEN_0005,tennis,serve,ATP 500,1,1,1,Rune,Medvedev,right,0.64,0.92,0.563,media,center,returned
TEN_0006,tennis,serve,Grand Slam,4,1,1,Alcaraz,Medvedev,right,0.72,0.76,0.709,alta,wide,returned
TEN_0007,tennis,serve,Masters 1000,1,0,0,Rune,Fritz,right,0.51,0.94,0.668,media,center,returned
TEN_0008,tennis,serve,Grand Slam,4,-1,1,Rune,Murray,left,0.56,1.0,0.756,alta,body,returned
TEN_0009,tennis,serve,ATP 500,5,-1,0,Sinner,Alcaraz,right,0.9,0.98,0.819,alta,body,ace
TEN_0010,tennis,serve,Masters 1000,1,-1,1,Alcaraz,De Miñaur,right,0.86,0.93,0.636,media,body,fault
TEN_0011,tennis,serve,Masters 1000,1,1,1,Djokovic,Fritz,right,0.35,0.43,0.411,media,center,returned
TEN_0012,tennis,serve,Masters 1000,3,1,0,Federer,Medvedev,right,0.76,0.95,0.699,media,body,returned
TEN_0013,tennis,serve,Grand Slam,0,0,0,Sinner,Tsitsipas,right,0.18,0.85,0.521,media,center,returned
TEN_0014,tennis,serve,ATP 500,0,0,1,Federer,Tsitsipas,right,0.84,0.94,0.654,media,wide,returned
TEN_0015,tennis,serve,ATP 500,2,0,1,Murray,Rune,right,0.49,0.45,0.619,media,wide,returned
TEN_0016,tennis,serve,ATP 500,0,-1,0,De Miñaur,Sinner,right,0.87,0.87,0.582,media,center,returned
TEN_0017,tennis,serve,Masters 1000,3,0,0,Tiafoe,Tiafoe,left,0.23,0.97,0.717,alta,wide,returned
TEN_0018,tennis,serve,Masters 1000,5,-1,0,Ruud,Federer,right,0.43,0.63,0.693,media,center,returned
TEN_0019,tennis,serve,Masters 1000,3,-1,1,Murray,Nadal,right,0.24,0.66,0.607,media,wide,fault
TEN_0020,tennis,serve,Grand Slam,2,-1,0,Sinner,Tsitsipas,right,0.58,0.5,0.555,media,wide,returned
TEN_0021,tennis,serve,Masters 1000,3,0,1,Zverev,Nadal,right,0.89,0.98,0.84,alta,body,returned
TEN_0022,tennis,serve,ATP 500,4,1,0,Tiafoe,Ruud,right,0.33,0.74,0.701,alta,wide,fault
TEN_0023,tennis,serve,Grand Slam,1,0,0,Rune,Djokovic,right,0.34,0.45,0.51,media,body,returned
TEN_0024,tennis,serve,Grand Slam,0,1,0,De Miñaur,Tiafoe,right,0.39,0.51,0.407,media,wide,fault
TEN_0025,tennis,serve,Masters 1000,5,1,0,Rublev,Sinner,right,0.75,0.83,0.817,alta,body,returned
TEN_0026,tennis,serve,Grand Slam,0,-1,1,Medvedev,Sinner,right,0.12,0.73,0.418,media,center,returned
TEN_0027,tennis,serve,Masters 1000,4,0,0,Federer,De Miñaur,right,0.62,0.5,0.75,alta,body,returned
TEN_0028,tennis,serve,Grand Slam,3,0,0,Tiafoe,Tsitsipas,right,0.53,0.98,0.816,alta,body,ace
